ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
6472,Therapy for a Vampire,2014,NA,6.3,62%,0,0,1,0,0,David Rühm,87.0,Average,Average,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Latest
6473,One Small Hitch,2013,NA,6.6,17%,0,0,1,0,0,John Burgess,105.0,Really_Bad,Good,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6474,"Bon Voyage, Charlie Brown (and Don't Come Back!)",1980,all,7.3,NA,0,0,1,0,0,"Bill Melendez,Phil Roman",75.0,NA,Good,Non-Adult,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Golden
6475,The Devil's Arithmetic,1999,7+,6.5,NA,0,0,1,0,0,Donna Deitch,95.0,NA,Good,Non-Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6476,Bhoomi,2017,NA,5.4,50%,0,0,1,0,0,Omung Kumar,136.0,Bad,Average,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
6477,The Wind Journeys,2009,NA,7.4,NA,0,0,1,0,0,Ciro Guerra,117.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Modern
6478,Memoir of War,2017,13+,6.2,64%,0,0,1,0,0,Emmanuel Finkiel,127.0,Average,Average,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Latest
6479,Ladies in Lavender,2004,13+,7.0,NA,0,0,1,0,0,Charles Dance,104.0,NA,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,Modern
6480,"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",2012,NA,6.4,89%,0,0,1,0,0,"Bud Clayman,Glenn Holsten,Scott Johnston",100.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6481,Stand Clear of the Closing Doors,2014,NA,6.3,88%,0,0,1,0,0,Sam Fleischner,102.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
